"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://ditex.com.pl/gdzie-kupic/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
"Hyperlink","https://ditex.com.pl/gdzie-kupic/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@id='nm-mobile-menu']/div/div/div/div[1]/ul/li[1]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/blog/szukasz-idealnego-automatu-do-trudnych-miejsc-montazowych/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
"Hyperlink","https://ditex.com.pl/blog/szukasz-idealnego-automatu-do-trudnych-miejsc-montazowych/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@id='nm-mobile-menu']/div/div/div/div[1]/ul/li[1]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/do-pobrania/bmp/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
"Hyperlink","https://ditex.com.pl/do-pobrania/bmp/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@id='nm-mobile-menu']/div/div/div/div[1]/ul/li[1]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/partner-handlowy/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
"Hyperlink","https://ditex.com.pl/partner-handlowy/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@id='nm-mobile-menu']/div/div/div/div[1]/ul/li[1]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/do-pobrania/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
"Hyperlink","https://ditex.com.pl/do-pobrania/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@id='nm-mobile-menu']/div/div/div/div[1]/ul/li[1]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/katalog-produktow/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
"Hyperlink","https://ditex.com.pl/katalog-produktow/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/section[@id='ngr']/div/div/div/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/katalog-produktow/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@id='nm-mobile-menu']/div/div/div/div[1]/ul/li[1]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/moje-konto/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
"Hyperlink","https://ditex.com.pl/moje-konto/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@id='nm-mobile-menu']/div/div/div/div[1]/ul/li[1]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/kontakt/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
"Hyperlink","https://ditex.com.pl/kontakt/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@id='nm-mobile-menu']/div/div/div/div[1]/ul/li[1]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/blog/dynamicroll-air-idealne-rozwiazanie-dla-wymagajacych-przestrzeni/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
"Hyperlink","https://ditex.com.pl/blog/dynamicroll-air-idealne-rozwiazanie-dla-wymagajacych-przestrzeni/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@id='nm-mobile-menu']/div/div/div/div[1]/ul/li[1]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/blog/dlaczego-warto-wymieniac-stare-systemy-przeladunkowe-na-nowe/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
"Hyperlink","https://ditex.com.pl/blog/dlaczego-warto-wymieniac-stare-systemy-przeladunkowe-na-nowe/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@id='nm-mobile-menu']/div/div/div/div[1]/ul/li[1]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/do-pobrania/oferta-specjalna/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
"Hyperlink","https://ditex.com.pl/do-pobrania/oferta-specjalna/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@id='nm-mobile-menu']/div/div/div/div[1]/ul/li[1]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/do-pobrania/roger-technology/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
"Hyperlink","https://ditex.com.pl/do-pobrania/roger-technology/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@id='nm-mobile-menu']/div/div/div/div[1]/ul/li[1]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/kategoria-produktu/roger-technology/automatyka-do-bram-skrzydlowych/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
"Hyperlink","https://ditex.com.pl/kategoria-produktu/roger-technology/automatyka-do-bram-skrzydlowych/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@id='nm-mobile-menu']/div/div/div/div[1]/ul/li[1]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://ditex.com.pl/blog/ditex-razem-dla-lucjanka/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@class='nm-page-wrap']/div[@class='nm-page-wrap-inner']/header/div/div/div/nav[@class='nm-main-menu']/ul/li[@id='menu-item-5640']/div/ul/li[@id='menu-item-6772']/a","Navigation","HTML"
"Hyperlink","https://ditex.com.pl/blog/ditex-razem-dla-lucjanka/","https://ditex.com.pl/kategoria-produktu/ngr/","0","","Bramy przeciwpożarowe","302","Found","true","","","Absolute","//body/div/div[@id='nm-mobile-menu']/div/div/div/div[1]/ul/li[1]/ul/li[3]/a","Content","HTML"
